domain,phylum,class,order,family,genus,species,L,R,S,kit_id
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,Unknown genus4,Unknown species1,0,0,0,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus112,Unknown species12,0,0,0.001329,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus128,Unknown species8,0,0,0,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus136,Unknown species4,0,0,0.000743,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus139,Unknown species2,0,0,0,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus217,Unknown species4,0,0,0,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus348,Unknown species4,0,0,0.000391,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus459,Unknown species1,0,0,0,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus473,Unknown species1,0,0,0.006343,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus534,Unknown species8,0,0,0,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus581,Unknown species6,0,0,0.001935,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus600,Unknown species3,0,0,0,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus600,Unknown species8,0,0,0,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus613,Unknown species2,0,0,0.0004,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus624,Unknown species9,0,0,0,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus632,Unknown species6,0,0,0,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus650,Unknown species2,0,0,0.00109,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus671,Unknown species4,0,0,0,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus681,Unknown species1,0,0,0.001278,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus720,Unknown species5,0,0,0.000294,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus744,Unknown species6,0,0,0.000384,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus75,Unknown species1,0,0,0,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus772,Unknown species2,0,0,0,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,Unknown genus17,Unknown species5,0,0,0.000248,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,Unknown genus73,Unknown species12,0,0,0,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,Unknown genus73,Unknown species8,0,0.00172,0.002354,50
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,Unknown genus9,Unknown species3,0,0,0,50
Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Unknown genus127,Unknown species7,0,0,0,50
Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Unknown genus74,Unknown species4,0,0,0,50
Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter,Unknown species85,0,0,0,50
Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter,Unknown species87,0,0,0,50
Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter,Unknown species97,0,0,0,50
Bacteria,Acidobacteria,Chloracidobacteria,24-נוב,Unknown family,Unknown genus35,Unknown species2,0,0,0,50
Bacteria,Acidobacteria,Chloracidobacteria,PK29,Unknown family,Unknown genus38,Unknown species1,0,0,0,50
Bacteria,Acidobacteria,Chloracidobacteria,RB41,Ellin6075,Unknown genus36,Unknown species7,0,0,0.000287,50
Bacteria,Acidobacteria,Chloracidobacteria,RB41,Unknown family,Unknown genus139,Unknown species1,0,0,0,50
Bacteria,Acidobacteria,Chloracidobacteria,RB41,Unknown family,Unknown genus20,Unknown species8,0,0.001032,0,50
Bacteria,Acidobacteria,Chloracidobacteria,RB41,Unknown family,Unknown genus205,Unknown species1,0,0,0,50
Bacteria,Acidobacteria,Chloracidobacteria,RB41,Unknown family,Unknown genus219,Unknown species3,0,0,0.00049,50
Bacteria,Acidobacteria,Chloracidobacteria,RB41,Unknown family,Unknown genus37,Unknown species14,0,0,0,50
Bacteria,Acidobacteria,Chloracidobacteria,RB41,Unknown family,Unknown genus37,Unknown species19,0,0,0.000498,50
Bacteria,Acidobacteria,Chloracidobacteria,RB41,Unknown family,Unknown genus7,Unknown species3,0,0,0.000081,50
Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Unknown genus100,Unknown species1,0,0,0,50
Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Unknown genus173,Unknown species2,0,0,0,50
Bacteria,Acidobacteria,Solibacteres,Solibacterales,Unknown family,Unknown genus36,Unknown species3,0,0,0.005202,50
Bacteria,Acidobacteria,Sva0725,Sva0725,Unknown family,Unknown genus169,Unknown species1,0,0,0,50
Bacteria,Acidobacteria,Sva0725,Sva0725,Unknown family,Unknown genus17,Unknown species1,0,0,0.005532,50
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,AKIW874,Unknown genus1,Unknown species2,0,0,0,50
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,EB1017,Unknown genus40,Unknown species4,0,0,0,50
